Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2137,17646,17646,78757,53562,0.77,13553,76037,60368,0.26,4622,177,-652,17646,81900,56059,17646,2975,714,0.1,1719,128487,34100,0.09,1598,92405,15264,0.78,13697,27999,15212,19360,197378,63460
2138,12094,12094,62502,46644,0.8,9732,67303,55640,0.23,2805,-4347,-3570,12094,64733,48716,12094,2158,518,0.09,1041,83317,26050,0.08,958,57439,11289,0.74,8991,20788,12990,13260,100764,25835
2140,12227,12227,51159,41547,0.86,10523,53771,47238,0.13,1580,-3946,-3416,12227,52772,43207,12227,1569,484,0.1,1203,80866,22825,0.09,1070,67095,9130,0.75,9121,14574,9566,13035,54276,13941
2141,18050,18050,45128,36206,0.79,14205,49601,43018,0.18,3199,-2153,-1731,18050,46642,37297,18050,1479,360,0.12,2168,63273,30653,0.11,1940,43907,12502,0.71,12816,12369,8118,20232,61614,15317
2142,14651,14651,44800,37639,0.83,12158,48146,42873,0.11,1642,-2848,-2217,14651,46421,38982,14651,1597,500,0.13,1955,52177,27939,0.12,1787,35605,12480,0.72,10570,11596,8214,16616,45278,12666
2143,5127,5127,47617,39282,0.79,4040,52052,45992,0.17,864,-1757,-1171,5127,49337,40588,5127,1660,511,0.13,663,76992,30682,0.12,629,60131,12798,0.73,3730,13000,8647,5644,73908,24309
2144,21592,21592,37686,30543,0.76,16356,41352,35947,0.11,2379,-387,-652,21592,38994,31575,21592,1292,300,0.19,4005,54922,31797,0.17,3630,37895,13723,0.67,14452,9233,5839,23367,36462,7640
2145,47073,47073,57353,48591,0.84,39550,61834,55361,0.18,8407,-3658,-2868,47073,59426,50510,47073,2033,767,0.09,4289,74880,26714,0.09,4079,56402,13295,0.78,36562,16456,12077,52660,87584,33181
2146,10900,10900,54430,47485,0.85,9225,59240,53914,0.17,1837,-3652,-3140,10900,56447,49110,10900,2011,762,0.09,989,59083,21824,0.09,932,42470,10304,0.77,8377,15108,11548,12342,90285,38314
2147,20449,20449,55976,48605,0.84,17246,60412,54950,0.16,3204,-3155,-2370,20449,58163,50565,20449,2149,809,0.09,1817,67039,27757,0.08,1714,48189,13050,0.78,15947,15545,11830,24085,103489,47225
2148,37312,37312,50621,45510,0.86,31918,54463,50706,0.13,4683,-2643,-2573,37312,52563,47405,37312,1921,780,0.1,3702,55308,28691,0.09,3482,37260,11854,0.78,29029,13027,10044,42610,69711,28883
2150,23118,23118,54953,47164,0.87,20178,58768,52922,0.11,2436,-4077,-3463,23118,56612,48738,23118,1623,579,0.09,2014,65656,20570,0.08,1791,51996,9794,0.76,17636,15678,11889,25151,46468,13091
2151,12565,12565,61436,49543,0.81,10136,64928,56848,0.2,2480,-2859,-2010,12565,63820,51700,12565,2333,688,0.1,1233,77441,24800,0.09,1159,58141,11690,0.77,9680,18836,12742,14099,125086,45692
2152,6774,6774,62297,52312,0.8,5453,67661,60846,0.18,1187,-2522,-1828,6774,64718,54499,6774,2395,801,0.09,607,69470,26004,0.09,576,48435,12442,0.77,5243,18870,13991,7505,126421,59341
2153,36484,36484,67494,51932,0.79,28789,72937,62012,0.25,8946,-4059,-2838,36484,70196,54172,36484,2592,714,0.09,3115,92054,30427,0.08,2950,63140,13686,0.76,27767,22258,15140,39844,157660,70846
2154,25274,25274,71973,50010,0.75,19076,75537,60000,0.25,6404,-4120,-2994,25274,74926,52428,25274,2872,649,0.08,1996,114366,32932,0.07,1877,84329,13844,0.74,18813,25521,15095,27134,191381,70979
2155,37915,37915,70021,55868,0.85,32136,74203,63156,0.23,8816,-6774,-4804,37915,72923,58554,37915,2843,947,0.08,3093,101048,30163,0.08,2966,77038,13801,0.8,30340,21998,15483,40030,123159,62125
2156,8891,8891,88844,50695,0.7,6267,73772,54148,0.23,2051,285,-227,8891,92456,53640,8891,3507,525,0.08,699,133956,41100,0.08,676,89405,17334,0.75,6668,35274,15986,9349,283918,89696
2157,2471,2471,69430,45225,0.73,1800,62644,48065,0.19,477,2863,1598,2471,72041,47743,2471,2454,450,0.11,271,97242,50986,0.11,263,69053,23488,0.75,1842,24205,12431,2637,175975,61030
2158,5738,5738,104893,50847,0.72,4118,74267,54752,0.24,1381,1547,-447,5738,109020,53706,5738,3999,540,0.09,488,172058,33416,0.08,478,141605,14196,0.75,4330,43420,15300,6100,258854,69536
2159,3324,3324,74569,46631,0.72,2387,71063,51582,0.22,737,1949,265,3324,77668,49337,3324,2933,550,0.1,347,124782,37600,0.1,333,92750,19494,0.76,2514,26877,13549,3546,233813,75522
2160,19528,19528,47129,38840,0.78,15185,51185,46131,0.15,2925,-877,-1199,19528,48977,40408,19528,1820,530,0.15,2913,60728,34682,0.14,2751,41128,15354,0.74,14409,12371,8583,21660,63510,18976
2161,14644,14644,45539,38014,0.78,11361,49353,45091,0.13,1946,-1238,-1456,14644,47340,39308,14644,1774,492,0.15,2228,65103,36808,0.15,2128,43931,17298,0.73,10619,11934,8192,16489,57631,18223
2162,8980,8980,46444,38757,0.78,6993,50875,46231,0.15,1346,-434,-894,8980,48193,40236,8980,1720,515,0.12,1057,69069,37809,0.11,992,49103,17686,0.72,6472,12409,8548,10121,75291,23915
2163,4123,4123,42408,36911,0.81,3332,45358,41926,0.11,439,-1856,-2178,4123,44115,38475,4123,1681,530,0.13,529,55630,32550,0.12,499,37586,14019,0.73,3019,10209,6921,4984,46098,13149
2164,9738,9738,51477,43665,0.81,7846,54114,49358,0.18,1705,779,-586,9738,53524,45532,9738,2027,715,0.1,953,81419,39080,0.09,906,59444,18644,0.76,7419,13823,9820,11110,89859,33074
2165,17714,17714,44876,38484,0.81,14422,47746,44015,0.15,2648,-396,-839,17714,46614,40003,17714,1710,538,0.11,1938,76226,37270,0.1,1833,57025,17563,0.72,12761,11513,8317,20498,57506,19137
2166,25274,25274,44662,38441,0.83,20987,46727,42622,0.16,3937,-621,-883,25274,46248,39724,25274,1535,488,0.09,2150,100452,38122,0.08,2023,81381,17464,0.72,18117,11506,8054,30003,49028,16147
2167,5855,5855,54576,49025,0.87,5115,59184,54799,0.17,976,-4154,-2918,5855,56791,51219,5855,2197,950,0.08,473,56193,23450,0.08,456,41349,12149,0.79,4631,14550,11504,6568,79584,37552
2168,19752,19752,47872,42750,0.86,16933,51306,47885,0.13,2532,-2703,-2556,19752,49914,44674,19752,2019,810,0.09,1707,78498,39411,0.08,1652,58888,18611,0.77,15150,11920,9027,23654,60268,23207
2170,53244,53244,52399,45370,0.84,44479,55976,50976,0.15,7981,-1987,-2198,53244,54654,47334,53244,2233,838,0.1,5333,93396,36200,0.1,5121,72898,17543,0.77,41131,14016,10222,60928,78504,31852
2171,20824,20824,58076,49812,0.85,17729,61000,54618,0.2,4168,-2933,-2890,20824,60667,52081,20824,2551,1078,0.09,1884,91154,37271,0.09,1818,68795,17817,0.81,16795,15910,11598,22434,87681,43569
2172,1711,1711,72380,59668,0.86,1463,73277,65610,0.31,528,-4257,-3330,1711,75331,63659,1711,2932,1166,0.07,114,79071,31329,0.06,106,56116,14780,0.81,1383,22653,16379,1835,169029,86659
2173,8691,8691,61940,55268,0.89,7757,65387,60771,0.2,1739,-5102,-3472,8691,64656,57668,8691,2682,1177,0.07,625,79525,30000,0.07,603,59691,13461,0.82,7148,17075,13522,9632,115173,61720
2174,3754,3754,62097,55158,0.89,3353,66196,60750,0.2,761,-5676,-3716,3754,64652,57598,3754,2548,1154,0.08,318,63715,31838,0.08,301,44227,14789,0.83,3117,17109,13386,3684,66476,38857
2175,1111,1111,71796,48937,0.73,812,58093,52322,0.29,321,7207,3421,1111,74980,51972,1111,2998,666,0.1,108,144272,51438,0.09,102,113059,30542,0.78,867,24217,12875,1214,168152,42327
2176,24351,24351,52668,44241,0.81,19776,55066,49776,0.21,5132,338,-388,24351,54803,46005,24351,2083,740,0.09,2228,104641,39642,0.09,2155,81833,17941,0.76,18550,14438,10140,27345,89565,34771
2177,7952,7952,49791,43882,0.85,6725,53269,48476,0.17,1390,-1320,-1379,7952,51740,45616,7952,1933,772,0.09,687,90291,36145,0.08,653,73506,17379,0.77,6157,12747,9446,9244,65785,26515
2178,2226,2226,64039,46510,0.75,1679,54318,46435,0.27,603,4075,1906,2226,66485,48543,2226,2317,600,0.1,227,204338,54507,0.1,224,171002,27594,0.79,1748,19930,11622,2391,192154,35994
2179,3909,3909,57956,48942,0.78,3058,58704,54176,0.19,744,1467,-250,3909,60433,51425,3909,2450,835,0.11,421,67798,31356,0.1,403,48509,15094,0.78,3064,16547,11727,4149,108028,38607
2190,11872,11872,47413,37440,0.75,8961,51736,44546,0.16,1913,18,-827,11872,49404,39088,11872,1956,505,0.15,1789,78043,38508,0.14,1717,58272,20769,0.72,8530,12999,8559,13290,67259,21137
2191,3313,3313,55466,45044,0.79,2607,58847,51300,0.22,723,100,-726,3313,57729,47246,3313,2190,697,0.12,387,85888,38839,0.11,369,62514,17984,0.78,2585,15438,10523,3749,98826,40798
2192,7301,7301,48011,40953,0.8,5849,52080,46662,0.15,1098,845,106,7301,49862,42553,7301,1828,600,0.13,971,62272,34260,0.13,925,44344,15754,0.75,5475,12483,8884,8569,61386,22077
2193,10762,10762,59319,46978,0.82,8795,62340,52945,0.18,1928,862,84,10762,61486,48846,10762,2141,650,0.12,1261,81645,26110,0.11,1162,60840,11294,0.77,8270,17799,11812,12105,109263,39008
2194,14538,14538,42706,35918,0.8,11667,46503,41189,0.14,2084,-868,-1357,14538,44122,36903,14538,1396,360,0.13,1874,55406,29518,0.12,1716,38443,11640,0.71,10259,10994,7432,16586,46790,13523
2195,13091,13091,39832,32204,0.77,10106,44112,39822,0.08,1082,-115,-921,13091,41356,33426,13091,1503,450,0.21,2782,50754,30497,0.2,2672,36919,16222,0.68,8919,9994,6679,15456,39038,10956
2196,16182,16182,46604,38272,0.78,12643,50928,45259,0.15,2470,-274,-786,16182,48515,39890,16182,1885,575,0.15,2364,69606,35055,0.14,2260,52410,17714,0.72,11671,12532,8580,18471,66574,21597
2197,4356,4356,54360,40123,0.79,3433,53409,47094,0.16,694,-295,-798,4356,56534,42085,4356,2089,642,0.13,575,87299,38202,0.12,544,68440,17772,0.73,3187,16842,9214,4928,81523,27568
2198,4686,4686,51984,41138,0.77,3613,56649,48998,0.19,881,-559,-907,4686,54238,42785,4686,2229,636,0.1,475,92980,41202,0.1,453,68236,19270,0.73,3401,15072,9963,5210,115639,46196
2199,8621,8621,46978,38670,0.79,6835,51217,45652,0.16,1394,-563,-1018,8621,49064,40127,8621,2064,578,0.11,982,74017,34500,0.11,943,54658,16059,0.71,6153,12903,8968,9750,69411,23612
2200,22240,22240,46139,37936,0.8,17815,48917,43841,0.14,3159,26,-916,22240,47980,39494,22240,1827,520,0.13,2939,71230,34197,0.13,2800,53467,17826,0.72,15956,12385,8466,25144,58693,17475
2203,9011,9011,71390,57485,0.86,7735,72874,62400,0.16,1420,615,-818,9011,73880,59625,9011,2452,916,0.12,1047,60132,22166,0.11,963,36476,9477,0.83,7468,21540,14656,10808,124229,52737
