Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2566,15222,15222,51736,46906,0.87,13263,55309,51425,0.12,1800,-3462,-2818,15222,54010,48938,15222,2211,1024,0.08,1219,71655,32823,0.08,1185,53775,16817,0.8,12129,13035,10131,17688,81004,35755
2567,23616,23616,62236,53382,0.89,21050,64977,57896,0.14,3360,-4863,-3568,23616,65161,56088,23616,2896,1371,0.07,1630,76317,33215,0.07,1593,52071,16608,0.83,19506,17214,12998,26104,109019,61725
2568,726,726,61522,43864,0.69,504,65912,55260,0.2,145,-1210,-115,726,64680,46406,726,3119,702,0.07,52,89146,21716,0.07,50,67309,16841,0.7,508,21633,14212,757,182924,79312
2569,856,856,59922,49631,0.83,713,61562,52444,0.19,159,-135,-410,856,62771,52229,856,2732,1020,0.1,89,79287,27880,0.1,87,59867,16541,0.79,677,16993,12366,979,144037,71074
2570,29038,29038,64414,53634,0.85,24600,65474,58832,0.14,4192,-1993,-2135,29038,67710,56382,29038,3256,1290,0.08,2256,100278,32562,0.08,2199,73734,17338,0.81,23419,19030,13552,31146,126398,59080
2571,7605,7605,64178,52226,0.84,6380,65970,57438,0.15,1156,-1876,-1766,7605,67125,54999,7605,2898,1189,0.08,621,88672,34440,0.08,611,67178,18506,0.8,6093,19023,13553,8395,129619,66410
2572,2500,2500,58813,47893,0.81,2037,62268,53649,0.14,341,-979,-1436,2500,61586,50368,2500,2749,1044,0.09,227,83528,32252,0.09,220,63469,22072,0.77,1933,17129,12046,2831,124358,56817
2573,2830,2830,53427,47182,0.85,2417,57494,52000,0.1,294,-1405,-1354,2830,55907,49148,2830,2402,1086,0.07,204,62676,38898,0.07,202,41127,16220,0.79,2222,14147,11074,3210,91321,46430
2574,3362,3362,56190,46820,0.83,2795,59234,52751,0.14,469,-2278,-1205,3362,58872,49222,3362,2620,1072,0.08,282,88120,44947,0.08,275,65974,23136,0.77,2597,15906,11308,3775,105721,53659
2575,9677,9677,61702,43599,0.76,7389,58388,48621,0.14,1313,2210,14,9677,64398,45960,9677,2521,659,0.11,1086,91955,39142,0.11,1055,61198,18329,0.75,7267,20011,10561,10746,140505,51876
2576,8525,8525,71978,41914,0.59,5072,67624,48290,0.17,1463,3723,1180,8525,75863,44250,8525,3569,517,0.11,905,134540,31364,0.1,865,97656,14767,0.69,5865,28572,12196,8843,285926,87972
2577,9242,9242,59207,41697,0.71,6530,58578,47932,0.16,1483,2786,899,9242,62388,43945,9242,2884,560,0.13,1183,81140,30099,0.12,1144,63751,17961,0.72,6628,19859,10632,10244,203119,61230
2578,1551,1551,50107,36459,0.58,904,56031,47394,0.14,218,5821,2938,1551,52489,37979,1551,2246,428,0.12,191,85813,32148,0.12,181,65116,18429,0.65,1005,16401,9624,1706,222435,92761
2579,2451,2451,54492,40605,0.7,1711,58734,48192,0.13,321,3020,981,2451,57090,42771,2451,2331,576,0.13,330,81155,27179,0.13,318,62382,21162,0.71,1728,17341,10666,2674,171727,58630
2580,16307,16307,53531,45139,0.8,13082,55726,49808,0.12,2014,1052,-18,16307,55922,47117,16307,2221,810,0.08,1350,80901,29466,0.08,1343,65103,20130,0.77,12546,14718,10365,18267,127263,55208
2581,1322,1322,58509,50283,0.74,981,62454,54788,0.15,195,891,-708,1322,61558,52948,1322,2565,688,0.14,181,133834,37547,0.13,178,123959,40191,0.77,1021,17270,12822,1383,144318,70050
2582,7908,7908,64212,53052,0.77,6102,66628,59336,0.16,1261,-957,-919,7908,66930,55642,7908,2462,647,0.09,682,88780,34298,0.09,678,68828,20234,0.78,6168,19360,14208,8454,185996,83712
2583,2526,2526,46518,39116,0.65,1649,47617,42405,0.12,307,1836,52,2526,49491,41512,2526,2489,495,0.13,326,102734,42978,0.13,331,82966,34586,0.7,1774,13175,8506,2636,138092,56982
2584,311,311,49937,43772,0.67,209,52515,46894,0.16,49,472,993,311,52476,44819,311,2269,460,0.15,46,74050,42185,0.15,47,49204,24082,0.75,232,12891,9907,334,139374,61468
2585,173,173,74416,45109,0.66,115,50512,40747,0.18,32,14936,2476,173,78966,48709,173,4197,606,0.07,12,123787,84604,0.07,12,123659,63812,0.79,137,26136,10245,175,216069,42255
2586,1456,1456,48618,39101,0.69,1009,47171,42624,0.14,206,4669,466,1456,52190,41732,1456,2793,550,0.12,181,137518,34518,0.13,183,117360,31680,0.71,1029,13754,8521,1566,128766,52596
2587,1468,1468,47558,39827,0.71,1039,47982,43615,0.14,202,3355,368,1468,50662,42216,1468,2955,658,0.1,143,93514,45280,0.1,143,76285,32323,0.71,1043,13112,8437,1641,126172,47545
2588,205,205,63398,41125,0.61,126,47967,37347,0.22,46,7149,3606,205,70193,48718,205,5156,1000,0.09,18,52170,40950,0.08,17,44093,30297,0.67,138,23818,14443,239,198963,59536
2590,3653,3653,47138,39357,0.72,2631,49087,44200,0.13,462,1597,940,3653,49923,41367,3653,2561,652,0.09,327,100546,36634,0.09,325,82874,23571,0.71,2578,13322,8677,4161,146287,62232
2594,6196,6196,47513,39704,0.74,4611,46150,42135,0.12,759,2168,709,6196,50386,41847,6196,2628,588,0.09,558,100536,40848,0.09,547,80801,26857,0.73,4505,12925,8182,7030,118718,42635
2600,5962,5962,107634,73940,0.68,4047,96116,77339,0.27,1607,-3954,-2313,5962,112023,77548,5962,4214,854,0.07,429,159794,37994,0.07,405,80759,12163,0.83,4939,39235,20862,6212,428956,160202
2601,2810,2810,64939,42957,0.81,2275,63961,50441,0.16,453,-5569,-3792,2810,67000,44783,2810,1996,200,0.05,145,89021,19075,0.05,132,53160,10687,0.65,1839,25832,16863,3199,151830,19936
2602,20613,20613,72821,59921,0.8,16544,73753,65969,0.19,3832,-2873,-1766,20613,75225,62354,20613,2356,640,0.07,1494,56474,17776,0.07,1411,31696,7485,0.8,16579,22477,16347,22479,211513,74775
2603,6850,6850,115723,75869,0.73,4987,93297,75000,0.26,1768,-4790,-2448,6850,120890,78466,6850,5024,886,0.07,490,203293,27185,0.07,473,104363,12562,0.85,5817,42451,21176,7301,388832,121005
2604,8265,8265,90095,74523,0.82,6809,89098,79073,0.24,2008,-3902,-2524,8265,93234,76998,8265,3044,818,0.06,472,101915,21944,0.05,452,68311,9180,0.86,7077,28792,20160,9022,253204,92520
2605,7699,7699,89276,66332,0.72,5570,88171,73392,0.22,1677,-3542,-2130,7699,92645,69273,7699,3322,781,0.07,502,107657,31690,0.06,478,58977,11280,0.82,6286,30065,18564,8085,293567,134559
2606,7055,7055,72332,59044,0.8,5630,71250,64010,0.16,1131,-4794,-2449,7055,75105,61455,7055,2618,746,0.06,428,123714,21245,0.06,415,89682,8696,0.82,5816,21812,15167,7529,187370,50267
2607,9527,9527,75608,59797,0.73,6951,77073,67263,0.2,1934,-3154,-2309,9527,78250,62395,9527,2575,707,0.07,641,89786,21225,0.06,602,54177,10420,0.81,7699,23635,15971,9885,256418,104741
2609,586,586,74737,53071,0.81,476,59194,54327,0.16,93,5624,-1840,586,77682,54606,586,2637,605,0.07,40,153959,35810,0.07,39,129095,25896,0.82,483,23712,12668,739,128536,48485
2611,19703,19703,73202,63487,0.77,15249,76780,71438,0.18,3469,-3847,-3015,19703,75638,66145,19703,2389,723,0.07,1298,82522,23754,0.06,1254,57010,9991,0.83,16256,21591,16660,20650,213350,100313
2612,10926,10926,78786,64404,0.84,9147,75549,67103,0.18,1992,-4165,-2572,10926,81403,66761,10926,2542,580,0.05,575,86510,17655,0.05,530,60665,7852,0.83,9046,24806,16758,12106,219380,52362
2614,12843,12843,69983,56132,0.74,9472,72082,64002,0.17,2178,-2333,-2152,12843,72358,58694,12843,2350,633,0.07,883,62599,20317,0.06,834,42040,9254,0.8,10226,21125,14687,13693,234636,97003
2615,28142,28142,62606,56842,0.82,22986,65996,63070,0.13,3779,-5029,-3604,28142,64595,59110,28142,1961,649,0.06,1729,56896,22000,0.06,1684,36091,9600,0.82,22969,17040,14119,30706,158743,74897
2617,22914,22914,62638,53502,0.81,18488,64793,58832,0.16,3748,-4017,-2628,22914,64759,55601,22914,2071,549,0.06,1467,59927,20244,0.06,1371,42501,8394,0.79,18146,17992,13674,24576,162782,52953
2618,886,886,92931,54769,0.67,596,70526,57348,0.24,213,-4266,-1673,886,96609,58446,886,3566,600,0.11,97,81154,24227,0.11,97,53232,24384,0.76,669,36995,16844,957,312455,98296
2619,6271,6271,83936,71689,0.85,5351,82758,74255,0.23,1437,-4475,-3271,6271,86658,74448,6271,2691,914,0.05,332,194806,35786,0.05,323,168231,14522,0.85,5347,25989,19482,6619,246685,132177
2620,26358,26358,67120,58160,0.83,22006,67798,62198,0.17,4446,-1972,-1521,26358,69532,60443,26358,2337,774,0.07,1792,74175,27733,0.07,1742,54062,14479,0.83,22005,18989,14274,29175,163483,68976
2621,4223,4223,74231,61738,0.8,3383,75202,67999,0.2,843,-3108,-2448,4223,77024,64238,4223,2661,846,0.09,391,87768,26572,0.09,390,71781,14835,0.82,3462,22846,16293,4520,205353,106379
2622,2274,2274,50329,39682,0.65,1472,57201,49304,0.17,383,3968,706,2274,52722,41452,2274,2104,408,0.17,386,109282,30425,0.17,379,94700,24210,0.68,1557,15567,10356,2444,147519,66261
2623,374,374,56117,53624,0.82,305,62596,61791,0.11,40,-3521,-1405,374,58564,56010,374,2201,665,0.09,35,50163,26315,0.09,35,32373,22742,0.82,308,14139,12467,434,121103,63922
2625,180,180,50107,37396,0.77,139,38043,32052,0.28,51,4550,1883,180,55363,43905,180,5101,802,0.11,20,166866,57992,0.11,20,106195,23710,0.76,136,14875,8876,252,111469,26607
2626,313,313,58585,51249,0.75,234,64212,56554,0.14,45,635,-1184,313,61100,53950,313,2374,628,0.1,30,54849,34804,0.1,30,32763,18424,0.78,245,15970,12559,328,142576,69572
2627,2992,2992,53224,41964,0.81,2428,49022,42027,0.21,624,3389,1106,2992,55830,44256,2992,2478,584,0.14,407,82057,32037,0.13,392,61726,18348,0.78,2336,14603,8731,3457,115700,43122
2628,1090,1090,45716,39172,0.73,791,46877,42445,0.17,186,3010,1805,1090,48086,42020,1090,2223,574,0.16,177,87285,41898,0.16,176,66135,20690,0.73,791,11698,8338,1196,112981,58801
2629,263,263,37828,32823,0.57,150,42952,41062,0.14,38,-2409,864,263,39383,34931,263,1289,235,0.13,34,53797,25924,0.13,33,37439,21845,0.61,160,10192,7897,287,113871,37357
2630,5134,5134,52510,43054,0.75,3855,52594,45947,0.16,817,1375,-2,5134,54884,44931,5134,2239,496,0.1,506,82173,36372,0.1,499,62432,20695,0.75,3869,14377,9329,5533,142528,54652
2631,358,358,56810,37604,0.64,228,46183,38980,0.16,56,-613,-1084,358,59970,38911,358,2477,260,0.14,49,153752,45120,0.13,47,135190,32357,0.68,244,19179,8796,387,124222,42556
2632,1096,1096,51937,43568,0.76,829,51245,45441,0.12,137,2749,800,1096,54770,46326,1096,2771,568,0.11,122,75566,30466,0.11,116,62410,30655,0.76,831,13987,10495,1178,143651,57688
2633,208,208,43443,35588,0.7,146,43414,36076,0.07,15,876,1173,208,46342,39534,208,2566,328,0.13,28,136630,63848,0.13,28,100498,49611,0.66,138,12095,8219,219,103562,49418
2640,22192,22192,56000,45282,0.79,17433,54738,48884,0.14,3171,256,-192,22192,58566,47472,22192,2483,682,0.08,1828,95073,32214,0.08,1775,63881,16670,0.76,16870,16263,10654,23932,163514,62186
2641,8384,8384,46218,40756,0.81,6782,47604,44652,0.09,758,908,-168,8384,48063,42527,8384,1815,544,0.07,586,214164,32829,0.07,559,201693,15204,0.74,6222,11557,8423,9480,104385,45643
2642,3082,3082,49636,41636,0.72,2213,49594,44936,0.14,444,3376,803,3082,52680,44244,3082,2660,524,0.11,328,106295,38092,0.1,318,87722,23260,0.75,2299,13454,9427,3189,127497,56898
2643,1544,1544,45546,41262,0.76,1170,49053,46877,0.12,184,-304,-403,1544,48313,43309,1544,2300,708,0.07,114,122912,22499,0.07,113,106962,8897,0.71,1103,11933,9532,1706,125148,61401
2644,1425,1425,53341,39118,0.69,979,47161,42704,0.14,205,838,471,1425,57243,42249,1425,2643,447,0.11,163,95848,37003,0.11,157,78878,25061,0.7,1001,16925,8880,1478,147456,55968
2645,238,238,42941,37638,0.65,154,39412,36445,0.13,30,-1368,38,238,45247,38708,238,2232,230,0.11,25,87222,41933,0.1,23,72441,32882,0.68,163,12091,8506,248,81744,35556
2646,3949,3949,47334,39549,0.72,2851,49326,45206,0.13,524,2189,362,3949,50088,41962,3949,2413,690,0.07,276,77769,37000,0.07,268,61985,18878,0.72,2830,12913,9186,4321,140904,59283
2647,1273,1273,46495,39476,0.69,879,48419,44479,0.12,153,4216,1380,1273,48891,41251,1273,2130,540,0.07,92,145674,37366,0.07,92,121292,19018,0.71,905,12362,8641,1403,168490,65044
2648,1213,1213,46872,37005,0.69,837,44116,39361,0.11,132,50,-342,1213,49774,39246,1213,2494,417,0.11,130,177953,38719,0.1,117,169690,36258,0.69,843,14095,7957,1466,103177,37875
2650,33932,33932,56870,47111,0.81,27472,55316,49932,0.14,4783,1043,-128,33932,59457,49318,33932,2480,800,0.07,2430,117643,39672,0.07,2351,81936,21542,0.79,26682,15932,10577,37064,141946,53510
2651,1223,1223,53135,50210,0.93,1133,54571,52750,0.1,122,-1331,-569,1223,55116,52371,1223,1965,915,0.05,60,54110,26136,0.05,61,36010,12148,0.83,1013,12482,10550,1364,92595,45411
2652,2877,2877,47605,42166,0.7,2006,50280,46630,0.13,374,2971,1168,2877,50571,44890,2877,2620,474,0.1,285,113224,52148,0.1,280,99189,38128,0.74,2116,13146,9989,3050,107912,48746
2653,1416,1416,48699,42409,0.73,1036,54039,50009,0.15,207,1610,73,1416,50924,44570,1416,1934,527,0.1,137,126362,32200,0.1,135,119582,34709,0.7,998,14031,10868,1548,133369,58063
2655,793,793,49786,42960,0.72,574,50982,48943,0.15,120,88,0,793,52528,44851,793,2325,574,0.1,80,85580,35675,0.1,82,64112,26914,0.74,584,13872,9876,880,110547,59147
2656,709,709,43727,37180,0.66,465,42459,36993,0.15,108,1807,0,709,47199,40049,709,3440,490,0.1,70,91517,45714,0.1,69,70541,29459,0.67,478,12967,8911,711,147359,52216
2658,753,753,45093,36640,0.67,506,40795,38334,0.11,85,3854,926,753,48052,38813,753,2391,450,0.09,67,67454,41873,0.09,67,49291,22094,0.68,515,12303,7895,784,124739,49549
2659,513,513,41904,33859,0.65,332,43983,38886,0.11,56,2514,1140,513,44710,36540,513,2178,400,0.09,47,81444,37806,0.1,49,64124,19752,0.65,334,11657,7560,509,112428,55228
2660,863,863,48500,39834,0.74,636,45927,41709,0.13,113,2092,278,863,50922,41990,863,2239,485,0.09,77,105641,42197,0.09,76,86031,24095,0.72,625,13275,9035,946,110215,50965
2661,129,129,61368,68503,0.86,111,70267,78757,0.22,28,-3844,-1939,129,64368,72902,129,2974,2325,0.04,5,37505,22977,0.03,4,31297,18396,0.8,103,16996,16170,149,205916,110139
2663,2373,2373,49758,43543,0.79,1880,52412,47552,0.12,287,754,-144,2373,52198,45862,2373,2302,712,0.07,166,78155,39607,0.07,158,62308,20422,0.77,1831,12769,9381,2732,113720,44437
2665,1185,1185,36397,31492,0.57,674,42703,38474,0.13,154,2672,908,1185,39491,34091,1185,2752,319,0.1,123,127164,39187,0.1,119,119660,29374,0.63,748,11295,7928,1229,118128,44813
2666,3109,3109,44835,37293,0.69,2141,47111,42469,0.13,411,1655,541,3109,47796,39807,3109,2728,660,0.09,279,96349,37781,0.09,273,79430,25190,0.69,2149,12624,8365,3359,146781,57168
2668,201,201,42774,36010,0.59,119,37319,33371,0.1,21,3690,2358,201,46768,38906,201,3215,372,0.06,13,350782,53000,0.06,12,343442,20372,0.66,132,12719,7922,237,127000,37408
2669,911,911,38205,35291,0.56,512,39945,37102,0.12,107,4951,1364,911,41895,38926,911,2841,280,0.11,96,159173,45072,0.1,93,153878,41706,0.67,607,12424,7849,916,91204,34116
2671,2265,2265,50017,39387,0.73,1644,54088,45897,0.15,330,1878,330,2265,52911,41942,2265,2262,505,0.1,231,140888,50690,0.1,226,124953,36666,0.72,1629,14839,9648,2417,137718,54388
2672,817,817,45572,37667,0.69,563,43377,38650,0.12,99,-1526,-514,817,48721,40005,817,2670,444,0.08,69,157270,43920,0.08,67,120019,30292,0.72,591,12345,8973,898,101141,30323
2675,981,981,45578,42903,0.79,771,45898,43366,0.12,118,1589,649,981,48030,45464,981,2245,530,0.08,76,160155,57748,0.07,73,163584,50309,0.79,778,11919,8871,1173,71087,25299
2680,15379,15379,51189,44192,0.82,12544,49408,45996,0.12,1800,2825,809,15379,53811,46457,15379,2225,554,0.06,944,112867,36528,0.06,899,91742,21711,0.78,11964,13479,9521,17441,117157,30272
2681,1011,1011,48213,43853,0.8,808,52331,48220,0.12,126,1253,727,1011,50459,46493,1011,1947,519,0.07,71,67911,28028,0.07,67,60407,20000,0.75,760,12934,9797,1126,118799,49603
2700,2619,2619,44033,40106,0.74,1943,49295,46177,0.15,403,137,-454,2619,47186,42688,2619,2414,803,0.08,202,100342,44736,0.08,197,82926,37018,0.72,1881,11714,8981,2940,106703,44618
2701,1373,1373,49208,43036,0.72,990,51938,47476,0.15,208,2128,272,1373,51799,45008,1373,2239,534,0.08,110,97339,45106,0.08,106,82673,29529,0.74,1018,14015,9791,1388,133442,59032
2702,398,398,41383,37154,0.68,272,42924,44562,0.09,35,25,-1758,398,43246,38898,398,1694,414,0.08,33,99225,27772,0.08,32,99994,12092,0.68,272,10834,8195,430,90335,44024
2703,386,386,46671,43658,0.83,319,50145,47580,0.12,45,-2359,-1389,386,49075,45822,386,2045,660,0.06,24,89484,66877,0.06,23,78616,42588,0.74,285,11782,10095,457,86683,51274
2705,5838,5838,48494,43880,0.8,4655,52272,48818,0.12,724,207,-184,5838,50956,46040,5838,2134,657,0.07,390,96373,38758,0.07,380,82690,24521,0.75,4401,12849,9842,6609,111842,44219
2706,675,675,45165,45791,0.85,571,47327,46697,0.1,69,2374,1,675,47291,46853,675,1953,614,0.06,41,119210,42000,0.06,38,96501,20092,0.79,535,10946,9117,791,89765,39168
2707,863,863,44205,39401,0.63,546,44415,41084,0.13,111,453,891,863,49138,44080,863,3506,348,0.11,93,218224,70382,0.1,90,208491,49652,0.73,626,12501,8974,902,150731,40188
2710,5688,5688,47278,40194,0.73,4175,48440,44649,0.12,685,1666,912,5688,50505,43000,5688,2368,523,0.09,536,159148,50546,0.09,519,142729,32690,0.72,4116,13140,8862,6261,134387,50965
2711,1869,1869,47244,41561,0.75,1405,46806,42999,0.14,260,2226,255,1869,50347,43744,1869,2542,639,0.1,196,113492,36604,0.1,188,94193,25548,0.75,1405,12415,9287,2104,119166,39824
2712,710,710,44690,37384,0.66,466,46340,41985,0.12,85,4391,912,710,47488,39149,710,2513,433,0.11,75,165171,56964,0.1,68,174613,40458,0.69,491,12792,8717,789,122414,46852
2713,1571,1571,41124,37042,0.68,1071,46541,42602,0.1,158,-655,85,1571,44308,39893,1571,2550,516,0.09,135,141489,46280,0.09,134,129554,32268,0.69,1077,11147,7934,1705,117141,44347
2714,1454,1454,43407,35270,0.68,984,46621,41546,0.12,174,3559,585,1454,46463,38008,1454,2510,520,0.08,122,87056,39472,0.08,116,79204,24544,0.67,970,12159,8120,1638,154364,57612
2715,799,799,52230,42563,0.72,575,48077,44401,0.11,88,-1037,-69,799,55834,45524,799,2836,835,0.11,85,129654,47695,0.1,83,114172,25523,0.78,623,13920,8657,898,95021,40500
2716,675,675,47924,37948,0.72,489,43446,39247,0.15,103,163,235,675,51478,39833,675,2457,453,0.08,57,165457,61520,0.09,58,142539,53032,0.71,480,13938,8894,752,186316,48244
2717,616,616,44746,36702,0.74,456,44042,39586,0.09,56,2860,1576,616,47428,38284,616,2543,485,0.08,49,169702,36353,0.07,45,152686,33405,0.69,428,11938,7598,727,82776,34391
2720,4409,4409,53821,44837,0.79,3502,56800,50440,0.13,556,1179,460,4409,56091,46823,4409,2155,652,0.07,325,75409,40005,0.07,323,58395,27703,0.77,3378,14764,10780,5053,126267,57943
2721,121,121,39643,29357,0.51,62,35864,32932,0.15,18,12447,544,121,47900,34142,121,3384,234,0.12,14,117048,34153,0.11,13,132454,94409,0.66,80,11458,4276,138,84783,30040
2722,1731,1731,47622,39764,0.77,1329,46548,42685,0.11,194,1916,446,1731,50509,41755,1731,2444,500,0.09,152,118142,43556,0.09,150,101525,36196,0.74,1288,12379,8248,1969,124060,46969
2725,163,163,45856,35811,0.6,98,44208,40864,0.07,11,1246,1313,163,49332,39254,163,3426,445,0.11,18,110788,51026,0.11,18,84448,16658,0.66,108,14409,8304,173,142181,47671
2726,182,182,45299,40216,0.64,117,47015,41483,0.21,39,4570,3025,182,48113,43122,182,2770,298,0.15,27,78267,54144,0.15,27,67960,38239,0.73,132,12257,10224,186,128037,56015
2727,241,241,58765,43245,0.68,164,45725,43865,0.12,30,10581,1322,241,64980,48173,241,4599,725,0.09,22,87695,24698,0.1,23,77824,23477,0.77,185,17847,8566,258,174070,47082
2729,901,901,51606,41897,0.73,656,52414,47949,0.14,126,3215,2100,901,54397,44385,901,2464,575,0.1,93,120680,54643,0.1,94,101388,35284,0.72,652,15120,11113,996,125024,61092
2730,822,822,44104,38140,0.8,660,45464,40767,0.1,84,761,198,822,46068,39976,822,1830,452,0.05,42,85352,32714,0.06,46,60015,16784,0.74,609,10942,7533,1043,90642,40274
2731,3683,3683,52995,41923,0.73,2685,51149,46501,0.13,487,893,0,3683,55974,44231,3683,2626,653,0.08,305,98865,41254,0.08,293,79199,18561,0.73,2695,15663,9927,4011,166015,67084
2732,1035,1035,44392,34874,0.63,649,45823,39175,0.14,143,1046,902,1035,47199,36806,1035,2300,396,0.1,100,84062,29693,0.09,94,71676,19064,0.66,686,13766,7340,1063,161154,61014
2733,359,359,45536,39813,0.69,247,46061,44116,0.05,19,2292,-974,359,51065,43282,359,3021,545,0.09,31,190463,60350,0.09,31,154382,19885,0.74,267,11514,8741,366,128311,43046
2735,170,170,36151,38060,0.71,121,41306,41416,0.12,20,980,659,170,38698,40160,170,1934,412,0.07,12,52839,54958,0.07,12,43500,31308,0.69,117,8189,7097,199,74317,28785
2736,191,191,92165,42364,0.64,122,41622,37638,0.08,15,10206,2772,191,95975,44946,191,2971,413,0.07,13,287354,102787,0.07,14,239255,67490,0.7,134,42520,8497,225,102677,40155
2737,443,443,52912,44015,0.74,328,44064,42732,0.12,53,529,298,443,55976,45756,443,2671,637,0.05,21,154318,89059,0.05,20,127659,86202,0.77,339,14701,8185,511,81891,31502
2738,981,981,56824,46547,0.72,704,53839,48138,0.14,140,15,-627,981,60797,48785,981,3212,788,0.08,82,107506,30448,0.08,77,92073,21741,0.74,724,18360,11149,1033,224360,70722
2739,737,737,52011,42297,0.77,567,49616,43602,0.12,89,-77,-425,737,55917,43943,737,3678,801,0.1,73,101233,33192,0.09,69,86703,23752,0.78,578,14033,8352,1393,105136,5880
2745,18496,18496,66058,55497,0.87,16128,66190,59462,0.17,3179,-2647,-2527,18496,68900,58266,18496,2806,1122,0.07,1273,93130,35934,0.07,1232,68491,17336,0.83,15297,19107,13891,20154,132430,62050
2747,26245,26245,57939,50594,0.88,23186,59179,54898,0.12,3063,-3113,-2676,26245,60330,52629,26245,2369,1005,0.07,1723,67664,29150,0.06,1659,49540,13872,0.82,21426,15597,11539,29740,82508,41962
2748,1333,1333,75225,50545,0.71,945,63098,51792,0.32,421,2377,919,1333,78691,53099,1333,3386,693,0.08,111,217788,44892,0.08,112,185520,24024,0.79,1052,25832,12605,1386,197088,57419
2749,9966,9966,59980,51718,0.87,8641,61582,56043,0.14,1441,-2252,-2121,9966,62559,54154,9966,2548,993,0.06,615,90324,37887,0.06,598,67191,20027,0.81,8119,16462,12330,11231,105228,50649
2750,26421,26421,58356,50617,0.85,22589,60720,55150,0.13,3424,-2088,-1938,26421,60843,52627,26421,2440,910,0.06,1678,79837,29732,0.06,1626,57264,15182,0.79,21001,16229,12096,30423,107051,51529
2752,3174,3174,60425,53690,0.86,2720,63477,57302,0.18,558,-2406,-1449,3174,63137,55840,3174,2673,1094,0.07,209,86924,39300,0.07,210,62548,21192,0.82,2602,16574,13010,3542,110058,61493
2753,10114,10114,57914,47472,0.8,8120,59111,51941,0.17,1732,902,-268,10114,60357,49728,10114,2398,756,0.09,873,90362,40410,0.08,855,63515,20388,0.78,7877,16554,11514,11434,116435,49175
2754,3569,3569,56396,47430,0.79,2831,59202,53470,0.14,512,850,-133,3569,58761,49370,3569,2297,804,0.08,277,94906,31616,0.08,277,75078,18312,0.77,2762,15919,11431,3909,126941,57392
2756,20911,20911,60874,50276,0.83,17399,60699,53722,0.15,3088,-371,-772,20911,63414,52639,20911,2457,858,0.09,1795,109152,45780,0.09,1783,81435,22028,0.81,16851,17318,11967,23656,113664,50792
2757,589,589,56935,48010,0.76,445,59131,52948,0.19,113,1933,272,589,61012,49721,589,2655,716,0.11,62,92735,44946,0.1,59,79382,27297,0.75,439,17020,11630,629,158201,60884
2758,5602,5602,61581,48775,0.77,4307,63901,55049,0.2,1108,237,-512,5602,64820,51795,5602,3095,766,0.11,620,86938,38061,0.11,623,61023,20393,0.76,4263,19115,13425,6120,155883,70531
2759,16257,16257,56613,50976,0.88,14347,59894,55395,0.14,2281,-3447,-2581,16257,59088,53202,16257,2457,1089,0.07,1095,65812,34015,0.07,1077,44703,15757,0.82,13393,14571,11444,18505,100604,51355
2760,18577,18577,52590,48354,0.89,16558,55101,52458,0.09,1757,-3472,-3442,18577,54810,50345,18577,2209,946,0.06,1166,56001,28120,0.06,1124,38397,13404,0.81,15008,13148,10429,21723,65255,31887
2761,19220,19220,54511,50004,0.9,17333,58228,54610,0.13,2481,-5050,-3913,19220,56830,52245,19220,2286,1127,0.07,1433,61393,29287,0.07,1394,44312,15768,0.82,15679,13894,11206,21306,71594,37881
2762,6338,6338,62419,55765,0.88,5605,66879,61156,0.15,930,-5203,-3994,6338,64765,58153,6338,2307,950,0.09,569,59621,22487,0.08,530,45170,11246,0.83,5235,17300,13759,6481,75189,39372
2763,18664,18664,58242,51737,0.88,16400,62667,57058,0.16,2940,-5081,-3909,18664,60433,53878,18664,2179,899,0.08,1552,54678,25525,0.08,1491,36783,11443,0.8,15015,15936,12478,20840,92194,45912
2765,12092,12092,63913,52163,0.82,9965,62761,56780,0.17,2051,-483,-1031,12092,66558,54732,12092,2598,858,0.09,1030,71906,32242,0.08,995,52028,16809,0.81,9805,18737,12910,13079,106013,44140
2766,9024,9024,52665,48197,0.88,7976,56305,52988,0.12,1121,-4438,-3660,9024,54782,50134,9024,2082,1003,0.07,644,52473,30176,0.07,612,35674,14998,0.8,7209,13452,10645,10224,71522,32957
2767,13395,13395,52858,47669,0.89,11856,57153,52822,0.16,2131,-4838,-3560,13395,54982,49848,13395,2111,988,0.08,1011,103452,26503,0.07,967,90007,12260,0.8,10684,13613,10648,15240,74418,33333
2768,16275,16275,64254,54112,0.86,14058,69266,60912,0.23,3735,-7027,-5030,16275,66776,56360,16275,2472,923,0.09,1399,386805,29677,0.08,1351,377858,14109,0.8,12992,19106,14252,17859,100451,54540
2769,7741,7741,70754,61419,0.87,6728,77065,69390,0.26,1975,-8393,-6428,7741,73657,64141,7741,2842,1140,0.08,650,83824,29565,0.08,619,62132,16266,0.82,6377,21424,16543,7947,93854,58037
